taz,sum,max,min,mean,std,25p,50p,75p
390,352.45,7.75,0.0,2.1,1.62,0.8,1.8,3.0
391,538.7,10.5,0.0,3.21,2.68,1.24,2.5,4.6
392,141.2,3.0,0.0,0.84,0.66,0.25,0.75,1.29
393,339.5,5.0,0.0,2.02,1.22,1.0,2.0,3.0
394,503.9,12.5,0.25,3.0,1.95,1.8,2.75,3.75
395,306.85,7.0,0.0,1.83,1.27,1.0,1.6,2.25
396,204.4,5.25,0.0,1.22,1.0,0.5,1.0,1.75
397,154.55,3.25,0.0,0.92,0.73,0.4,0.75,1.25
398,254.1,5.0,0.0,1.51,1.12,0.6,1.1,2.4
399,189.55,4.25,0.0,1.13,0.82,0.5,1.0,1.6
400,792.95,21.75,0.0,4.72,3.36,2.44,4.5,6.4
401,777.95,10.75,0.0,4.63,2.68,2.5,4.78,6.45
402,484.5,8.75,0.0,2.88,1.84,1.25,2.68,3.75
403,579.65,12.5,0.0,3.45,2.3,1.75,3.25,5.0
404,433.95,9.0,0.0,2.58,1.87,1.2,2.25,3.75
405,162.2,3.25,0.0,0.97,0.84,0.25,0.8,1.5
406,389.8,7.25,0.0,2.32,1.51,1.2,2.2,3.25
407,440.3,8.25,0.0,2.62,1.78,1.2,2.25,4.0
408,584.3,11.4,0.2,3.48,2.04,2.0,3.22,4.64
409,561.15,7.8,0.0,3.34,1.74,1.8,3.32,4.53
410,310.2,6.2,0.0,1.85,1.24,0.8,1.75,2.6
411,314.15,5.5,0.0,1.87,1.11,1.0,1.68,2.6
412,870.05,17.75,0.6,5.18,3.27,2.8,4.25,6.75
413,459.15,9.25,0.0,2.73,1.97,1.2,2.25,4.2
414,370.6,9.25,0.0,2.21,1.64,1.0,2.0,2.85
415,278.85,6.0,0.0,1.66,1.24,0.75,1.5,2.42
416,47.8,1.75,0.0,0.28,0.34,0.0,0.2,0.5
417,191.25,3.5,0.0,1.14,0.77,0.57,1.0,1.64
418,225.3,4.75,0.0,1.34,0.82,0.75,1.4,1.76
419,36.8,1.25,0.0,0.22,0.26,0.0,0.2,0.4
420,370.25,7.6,0.0,2.2,1.56,1.0,2.0,3.2
421,389.85,7.5,0.0,2.32,1.43,1.0,2.33,3.25
422,147.35,3.75,0.0,0.88,0.63,0.5,0.8,1.2
423,117.1,2.75,0.0,0.7,0.56,0.25,0.6,1.0
424,200.6,3.75,0.0,1.19,0.87,0.6,1.0,1.52
425,136.25,3.5,0.0,0.81,0.69,0.25,0.75,1.2
426,130.6,3.25,0.0,0.78,0.63,0.25,0.75,1.05
427,190.55,4.25,0.0,1.13,0.85,0.5,1.0,1.75
428,233.9,7.0,0.0,1.39,1.01,0.6,1.25,2.0
429,493.95,8.0,0.0,2.94,1.76,1.5,3.0,4.0
430,519.85,13.5,0.4,3.09,2.34,1.71,2.55,3.5
431,503.35,11.0,0.0,3.0,1.92,1.48,3.0,4.21
432,434.95,9.75,0.0,2.59,2.21,1.0,1.9,3.8
433,186.2,3.75,0.0,1.11,0.94,0.4,0.8,1.75
434,212.6,5.0,0.0,1.27,0.92,0.6,1.1,1.75
435,177.3,4.25,0.0,1.06,0.8,0.4,1.0,1.5
436,454.4,9.0,0.0,2.7,2.12,1.15,2.0,4.06
437,317.2,7.0,0.0,1.89,1.56,0.75,1.45,2.76
438,170.8,3.0,0.0,1.02,0.76,0.4,0.8,1.5
439,317.85,5.75,0.0,1.89,1.26,1.0,1.75,2.5
440,337.3,5.5,0.0,2.01,1.24,1.0,1.8,2.85
441,262.8,5.25,0.0,1.56,1.06,0.8,1.25,2.0
442,151.4,5.8,0.0,0.9,0.91,0.25,0.75,1.25
443,255.3,5.2,0.0,1.52,0.95,0.8,1.4,2.2
444,18.85,1.0,0.0,0.11,0.18,0.0,0.0,0.2
445,178.8,3.75,0.0,1.06,0.73,0.5,1.0,1.5
446,167.0,3.2,0.0,0.99,0.81,0.4,0.8,1.4
447,98.4,3.5,0.0,0.59,0.71,0.0,0.25,1.0
448,402.1,8.2,0.0,2.39,1.99,0.79,1.78,3.64
449,389.75,8.25,0.0,2.32,1.5,1.2,2.0,3.0
450,321.5,5.25,0.0,1.91,1.34,0.79,1.75,2.85
451,341.3,8.0,0.0,2.03,1.42,1.0,1.75,2.8
452,583.3,11.5,0.0,3.47,2.15,1.79,3.25,4.75
453,224.85,6.0,0.0,1.34,1.25,0.25,1.0,2.0
454,614.4,14.5,0.0,3.66,3.22,1.0,2.55,5.81
455,672.4,11.0,0.0,4.0,2.69,1.75,3.25,5.76
456,615.6,12.0,0.0,3.66,2.72,1.48,3.0,5.52
457,618.95,9.75,0.0,3.68,2.13,2.0,3.55,5.0
458,194.4,4.0,0.0,1.16,0.85,0.5,1.0,1.75
459,111.1,2.0,0.0,0.66,0.51,0.25,0.55,1.0
460,669.25,16.0,0.0,3.98,3.75,1.0,2.5,6.31
461,442.55,12.25,0.0,2.63,2.42,0.8,2.22,3.52
462,587.75,12.25,0.0,3.5,2.59,1.5,2.8,5.05
463,671.05,18.0,0.0,3.99,3.12,1.5,3.2,6.0
464,726.55,10.5,0.2,4.32,2.08,2.75,4.0,5.5
465,571.55,9.25,0.4,3.4,1.7,2.25,3.22,4.5
466,1934.2,25.0,1.6,11.51,4.97,8.24,11.55,14.52
467,370.75,5.5,0.4,2.21,1.11,1.4,2.0,2.76
468,174.2,5.0,0.0,1.04,0.85,0.4,0.8,1.4
469,112.7,2.75,0.0,0.67,0.59,0.25,0.5,1.0
470,189.75,4.8,0.0,1.13,0.94,0.5,1.0,1.5
471,153.45,3.75,0.0,0.91,0.77,0.25,0.75,1.25
472,191.85,5.25,0.0,1.14,1.0,0.4,0.78,1.6
473,153.55,2.75,0.0,0.91,0.67,0.4,0.78,1.25
474,190.5,3.5,0.0,1.13,0.72,0.6,1.0,1.5
475,178.6,5.2,0.0,1.06,0.89,0.4,0.9,1.5
