taz,sum,max,min,mean,std,25p,50p,75p
922,200.3,6.25,0.0,1.19,1.06,0.4,0.9,1.75
923,1104.6,17.6,0.2,6.57,3.88,3.75,6.25,9.5
924,6237.3,88.0,1.0,37.13,22.75,19.25,37.22,52.5
925,1921.15,34.0,0.0,11.44,7.83,5.31,11.1,16.4
926,417.45,16.25,0.0,2.48,2.66,0.75,1.78,3.25
927,2215.85,41.0,0.0,13.19,9.92,5.05,10.8,20.0
928,1238.45,24.75,0.0,7.37,6.41,2.55,5.0,11.62
929,1756.65,41.5,0.0,10.46,7.79,4.24,10.0,14.6
930,1920.8,31.75,0.2,11.43,8.04,3.6,11.8,17.29
931,395.5,10.75,0.0,2.35,1.98,0.71,2.0,3.31
932,1685.55,31.5,0.25,10.03,6.17,5.25,9.75,13.05
933,1778.35,31.25,0.0,10.59,7.0,4.25,10.75,15.85
934,1147.65,22.5,0.2,6.83,4.56,3.24,6.55,9.2
935,467.8,7.0,0.0,2.78,1.77,1.5,2.6,4.0
936,1390.9,28.25,0.0,8.28,5.9,3.5,7.68,12.0
937,1661.5,22.5,0.0,9.89,6.18,3.5,10.78,14.81
938,892.55,16.5,0.0,5.31,3.46,2.69,5.0,7.52
939,739.25,18.0,0.0,4.4,3.07,1.69,4.3,6.25
940,591.45,17.25,0.0,3.52,3.26,1.25,2.78,4.85
941,603.55,11.75,0.0,3.59,2.64,1.5,3.25,5.43
942,1068.7,23.0,0.2,6.36,4.4,2.48,6.5,9.21
943,1726.8,34.75,0.6,10.28,6.09,5.79,10.1,14.0
944,1199.9,23.25,0.0,7.14,5.68,1.79,6.22,11.31
945,1743.45,33.75,0.0,10.38,8.31,2.75,8.43,16.52
946,886.1,18.5,0.0,5.27,4.27,1.94,4.25,7.76
947,645.45,11.2,0.0,3.84,2.65,1.79,3.55,5.43
948,1494.1,28.75,0.0,8.89,6.89,2.6,8.0,14.42
949,644.3,15.5,0.0,3.84,2.73,1.95,3.25,5.5
950,753.65,20.75,0.2,4.49,3.46,2.0,3.88,6.0
951,1189.5,21.0,0.0,7.08,5.12,3.0,6.6,10.52
952,1146.1,16.5,0.0,6.82,4.19,3.15,6.75,10.2
953,483.65,11.25,0.0,2.88,2.29,1.0,2.6,4.0
954,1418.65,23.8,0.0,8.44,5.32,4.0,8.38,12.52
955,1021.9,16.0,0.0,6.08,3.84,2.44,6.55,8.76
956,1157.85,18.75,0.2,6.89,4.72,2.5,6.8,10.21
957,1205.6,20.5,0.0,7.18,4.71,3.25,7.25,10.52
958,1350.2,40.75,0.0,8.04,6.96,1.94,7.5,11.5
959,208.45,6.25,0.0,1.24,1.21,0.36,0.8,1.8
960,29.1,1.25,0.0,0.17,0.25,0.0,0.0,0.25
961,230.45,5.25,0.0,1.37,1.13,0.48,1.25,2.0
962,747.0,34.75,0.0,4.45,5.04,0.48,2.9,6.75
963,473.55,15.75,0.0,2.82,2.7,0.44,2.5,4.5
964,1570.85,41.0,0.0,9.35,8.36,2.75,8.32,13.0
965,591.0,13.5,0.0,3.52,2.82,1.0,3.25,5.0
966,304.8,7.5,0.0,1.81,1.66,0.25,1.45,2.8
967,240.25,11.0,0.0,1.43,2.0,0.0,0.6,2.2
968,373.5,13.0,0.0,2.22,2.58,0.0,1.32,3.5
969,81.3,8.25,0.0,0.48,0.88,0.0,0.2,0.6
970,103.7,3.0,0.0,0.62,0.64,0.2,0.5,1.0
971,270.7,8.5,0.0,1.61,1.47,0.5,1.4,2.25
972,231.35,6.0,0.0,1.38,1.2,0.25,1.25,2.0
973,290.5,7.75,0.0,1.73,1.86,0.0,1.2,2.76
974,1232.3,38.75,0.0,7.34,9.07,1.0,3.1,10.42
975,261.45,9.75,0.0,1.56,1.75,0.25,1.0,2.2
976,488.2,18.25,0.0,2.91,2.55,0.95,2.5,4.25
977,160.45,5.25,0.0,0.96,1.1,0.2,0.5,1.42
978,63.85,3.8,0.0,0.38,0.58,0.0,0.2,0.5
979,104.05,4.75,0.0,0.62,0.83,0.0,0.4,0.8
980,156.3,6.5,0.0,0.93,1.48,0.0,0.22,1.21
981,1561.05,26.0,0.0,9.29,6.59,3.88,8.32,12.86
